3.200000000000000711e+01,3.200000000525857757e+01,3.200000000002660983e+01,3.555551118218538420e+01,3.200000000525857757e+01
3.200000000000002132e+01,3.200000002103431740e+01,3.200000000010643930e+01,3.555537806207486540e+01,3.200000002103431740e+01
3.200000000000004263e+01,3.200000004732721237e+01,3.200000000023948843e+01,3.555515619522399362e+01,3.200000004732721237e+01
3.200000000000007816e+01,3.200000008413726960e+01,3.200000000042575721e+01,3.555484558163277597e+01,3.200000008413726960e+01
3.200000000000012079e+01,3.200000013146448197e+01,3.200000000066524564e+01,3.555444622130121246e+01,3.200000013146448197e+01
3.200000000000017053e+01,3.200000018930885659e+01,3.200000000095795372e+01,3.555395811422929597e+01,3.200000018901261711e+01
3.200000000000022737e+01,3.200000025767038636e+01,3.200000000130388145e+01,3.555338126071327309e+01,3.200000025678166082e+01
3.200000000000029843e+01,3.200000033654907838e+01,3.200000000170302883e+01,3.555271614748541253e+01,3.200000033477162020e+01
3.200000000000037659e+01,3.200000042483898000e+01,3.200000000215535323e+01,3.555196277454570719e+01,3.200000042217278917e+01
3.200000000000046185e+01,3.200000052254008409e+01,3.200000000266089017e+01,3.555112114270387735e+01,3.200000051898516062e+01
3.200000000000055422e+01,3.200000062965239067e+01,3.200000000321964677e+01,3.555019125195986618e+01,3.200000062520873456e+01
3.200000000000066080e+01,3.200000074617590684e+01,3.200000000383162302e+01,3.554917310231368077e+01,3.200000074084351098e+01
3.200000000000077449e+01,3.200000087211062549e+01,3.200000000449681892e+01,3.554806669376532113e+01,3.200000086588949699e+01
3.200000000000089528e+01,3.200000100745654663e+01,3.200000000521523447e+01,3.554687202631478726e+01,3.200000100034668549e+01
3.200000000000102318e+01,3.200000115221367025e+01,3.200000000598686967e+01,3.554558909996207916e+01,3.200000114421507647e+01
3.200000000000116529e+01,3.200000130638200346e+01,3.200000000681172452e+01,3.554421791470718972e+01,3.200000129428605788e+01
3.200000000000131450e+01,3.200000146996153916e+01,3.200000000768979902e+01,3.554275847375873809e+01,3.200000145055963685e+01
3.200000000000147082e+01,3.200000164295227734e+01,3.200000000862109317e+01,3.554121077711672427e+01,3.200000161303580626e+01
3.200000000000163425e+01,3.200000182535421800e+01,3.200000000960560698e+01,3.553957482478114827e+01,3.200000178171456611e+01
